"","a1","b1","c1","d1","e1","a2","b2","c2","d2","e2","test_m"
"1674",20,90,0,270,1,3,4,3,2,3,0.466214364821033
"1677",13,90,3e+07,270,1,3,4,3,2,3,0.46983893010093
"1678",20,90,3e+07,270,1,3,4,3,2,3,0.464702956156329
"1697",13,90,0,180,1,4,4,3,2,3,0.465838635331837
"1698",20,90,0,180,1,4,4,3,2,3,0.463718383140786
"1701",13,90,3e+07,180,1,4,4,3,2,3,0.463200907728957
"1702",20,90,3e+07,180,1,4,4,3,2,3,0.466598272192972
"1705",13,90,0,270,1,4,4,3,2,3,0.465800814854204
"1706",20,90,0,270,1,4,4,3,2,3,0.465749428977109
"1709",13,90,3e+07,270,1,4,4,3,2,3,0.467022919477802
"1710",20,90,3e+07,270,1,4,4,3,2,3,0.462778525410078
"1729",13,90,0,180,1,2,2,2,3,3,0.467078710383754
"1730",20,90,0,180,1,2,2,2,3,3,0.465511159642022
"1733",13,90,3e+07,180,1,2,2,2,3,3,0.46547026718865
"1734",20,90,3e+07,180,1,2,2,2,3,3,0.466180995839074
"1737",13,90,0,270,1,2,2,2,3,3,0.465640214027096
"1738",20,90,0,270,1,2,2,2,3,3,0.46650687447486
"1741",13,90,3e+07,270,1,2,2,2,3,3,0.465663576613705
"1742",20,90,3e+07,270,1,2,2,2,3,3,0.466288464365561
"1761",13,90,0,180,1,3,2,2,3,3,0.468927223103503
"1762",20,90,0,180,1,3,2,2,3,3,0.470468888219676
"1765",13,90,3e+07,180,1,3,2,2,3,3,0.469977351411516
"1766",20,90,3e+07,180,1,3,2,2,3,3,0.46792848986676
"1769",13,90,0,270,1,3,2,2,3,3,0.468759949615856
"1770",20,90,0,270,1,3,2,2,3,3,0.469662692477486
"1773",13,90,3e+07,270,1,3,2,2,3,3,0.470628237829697
"1774",20,90,3e+07,270,1,3,2,2,3,3,0.468148521843999
"1793",13,90,0,180,1,4,2,2,3,3,0.466724974992261
"1794",20,90,0,180,1,4,2,2,3,3,0.466668126216072
"1797",13,90,3e+07,180,1,4,2,2,3,3,0.46994197393855
"1798",20,90,3e+07,180,1,4,2,2,3,3,0.4660812710833
"1801",13,90,0,270,1,4,2,2,3,3,0.46760547964016
"1802",20,90,0,270,1,4,2,2,3,3,0.466886876758019
"1805",13,90,3e+07,270,1,4,2,2,3,3,0.468492045202477
"1806",20,90,3e+07,270,1,4,2,2,3,3,0.467646724678611
"1825",13,90,0,180,1,2,3,2,3,3,0.466720700352182
"1826",20,90,0,180,1,2,3,2,3,3,0.466383352387302
"1829",13,90,3e+07,180,1,2,3,2,3,3,0.466415261107998
"1830",20,90,3e+07,180,1,2,3,2,3,3,0.46601133109571
"1833",13,90,0,270,1,2,3,2,3,3,0.467017378493084
"1834",20,90,0,270,1,2,3,2,3,3,0.466781746754868
"1837",13,90,3e+07,270,1,2,3,2,3,3,0.467011034448156
"1838",20,90,3e+07,270,1,2,3,2,3,3,0.466116489889716
"1857",13,90,0,180,1,3,3,2,3,3,0.472211569350441
"1858",20,90,0,180,1,3,3,2,3,3,0.470732797668699
"1861",13,90,3e+07,180,1,3,3,2,3,3,0.47094810687246
"1862",20,90,3e+07,180,1,3,3,2,3,3,0.470405853001392
"1865",13,90,0,270,1,3,3,2,3,3,0.469284113008127
"1866",20,90,0,270,1,3,3,2,3,3,0.469273610077686
"1869",13,90,3e+07,270,1,3,3,2,3,3,0.469625727727468
"1870",20,90,3e+07,270,1,3,3,2,3,3,0.469707105203195
"1889",13,90,0,180,1,4,3,2,3,3,0.467608720553672
"1890",20,90,0,180,1,4,3,2,3,3,0.468134932028571
"1893",13,90,3e+07,180,1,4,3,2,3,3,0.47198361908717
"1894",20,90,3e+07,180,1,4,3,2,3,3,0.465617724282382
"1897",13,90,0,270,1,4,3,2,3,3,0.47065462402421
"1898",20,90,0,270,1,4,3,2,3,3,0.466593225211374
"1901",13,90,3e+07,270,1,4,3,2,3,3,0.468144669338605
"1902",20,90,3e+07,270,1,4,3,2,3,3,0.467181390253632
"1921",13,90,0,180,1,2,4,2,3,3,0.465895075662122
"1922",20,90,0,180,1,2,4,2,3,3,0.465672509494688
"1925",13,90,3e+07,180,1,2,4,2,3,3,0.466196462824843
"1926",20,90,3e+07,180,1,2,4,2,3,3,0.465351858822414
"1929",13,90,0,270,1,2,4,2,3,3,0.465488022946496
"1930",20,90,0,270,1,2,4,2,3,3,0.466306158620429
"1933",13,90,3e+07,270,1,2,4,2,3,3,0.465550976499744
"1934",20,90,3e+07,270,1,2,4,2,3,3,0.46503342403809
"1953",13,90,0,180,1,3,4,2,3,3,0.469670686883856
"1954",20,90,0,180,1,3,4,2,3,3,0.46931818070514
"1957",13,90,3e+07,180,1,3,4,2,3,3,0.468280559817008
"1958",20,90,3e+07,180,1,3,4,2,3,3,0.46610638411449
"1961",13,90,0,270,1,3,4,2,3,3,0.470700861948277
"1962",20,90,0,270,1,3,4,2,3,3,0.467219854218842
"1965",13,90,3e+07,270,1,3,4,2,3,3,0.468285335454004
"1966",20,90,3e+07,270,1,3,4,2,3,3,0.467242942621018
"1985",13,90,0,180,1,4,4,2,3,3,0.471533634956772
"1986",20,90,0,180,1,4,4,2,3,3,0.465315815043069
"1989",13,90,3e+07,180,1,4,4,2,3,3,0.467977048130236
"1990",20,90,3e+07,180,1,4,4,2,3,3,0.465680823059107
"1993",13,90,0,270,1,4,4,2,3,3,0.46653623496905
"1994",20,90,0,270,1,4,4,2,3,3,0.464902973767556
"1997",13,90,3e+07,270,1,4,4,2,3,3,0.468276669317063
"1998",20,90,3e+07,270,1,4,4,2,3,3,0.46530846502183
"2017",13,90,0,180,1,2,2,3,3,3,0.463647855930155
"2018",20,90,0,180,1,2,2,3,3,3,0.463630160142541
"2021",13,90,3e+07,180,1,2,2,3,3,3,0.463448621196975
"2022",20,90,3e+07,180,1,2,2,3,3,3,0.463017494835565
"2025",13,90,0,270,1,2,2,3,3,3,0.463113242422603
"2026",20,90,0,270,1,2,2,3,3,3,0.462605538533471
"2029",13,90,3e+07,270,1,2,2,3,3,3,0.462615534557648
"2030",20,90,3e+07,270,1,2,2,3,3,3,0.462879175061659
"2049",13,90,0,180,1,3,2,3,3,3,0.466420205306843
"2050",20,90,0,180,1,3,2,3,3,3,0.466189167360683
"2053",13,90,3e+07,180,1,3,2,3,3,3,0.468249393237937
"2054",20,90,3e+07,180,1,3,2,3,3,3,0.465294473196664
"2057",13,90,0,270,1,3,2,3,3,3,0.467557523001981
"2058",20,90,0,270,1,3,2,3,3,3,0.46499850529874
"2061",13,90,3e+07,270,1,3,2,3,3,3,0.466593456354427
"2062",20,90,3e+07,270,1,3,2,3,3,3,0.468849255807465
"2081",13,90,0,180,1,4,2,3,3,3,0.46842463348552
"2082",20,90,0,180,1,4,2,3,3,3,0.463249831624162
"2085",13,90,3e+07,180,1,4,2,3,3,3,0.532575799613346
"2086",20,90,3e+07,180,1,4,2,3,3,3,0.466127758053906
"2089",13,90,0,270,1,4,2,3,3,3,0.468334831265407
"2090",20,90,0,270,1,4,2,3,3,3,0.46236194210157
"2093",13,90,3e+07,270,1,4,2,3,3,3,0.46375603397844
"2094",20,90,3e+07,270,1,4,2,3,3,3,0.46770716604522
"2113",13,90,0,180,1,2,3,3,3,3,0.464700539284875
"2114",20,90,0,180,1,2,3,3,3,3,0.464438071120085
"2117",13,90,3e+07,180,1,2,3,3,3,3,0.463942772403546
"2118",20,90,3e+07,180,1,2,3,3,3,3,0.463078981345584
"2121",13,90,0,270,1,2,3,3,3,3,0.463699854184633
"2122",20,90,0,270,1,2,3,3,3,3,0.463738568914716
"2125",13,90,3e+07,270,1,2,3,3,3,3,0.463220694045893
"2126",20,90,3e+07,270,1,2,3,3,3,3,0.463415265366043
"2145",13,90,0,180,1,3,3,3,3,3,0.468347327640884
"2146",20,90,0,180,1,3,3,3,3,3,0.464163066323857
"2149",13,90,3e+07,180,1,3,3,3,3,3,0.466457819876722
"2150",20,90,3e+07,180,1,3,3,3,3,3,0.466295118345944
"2153",13,90,0,270,1,3,3,3,3,3,0.469026427954307
"2154",20,90,0,270,1,3,3,3,3,3,0.467234000802202
"2157",13,90,3e+07,270,1,3,3,3,3,3,0.465438970918505
"2158",20,90,3e+07,270,1,3,3,3,3,3,0.467079735732127
"2177",13,90,0,180,1,4,3,3,3,3,0.464352544258393
"2178",20,90,0,180,1,4,3,3,3,3,0.513697700433325
"2181",13,90,3e+07,180,1,4,3,3,3,3,0.529034280822085
"2182",20,90,3e+07,180,1,4,3,3,3,3,0.462954640284277
"2185",13,90,0,270,1,4,3,3,3,3,0.465960047544483
"2186",20,90,0,270,1,4,3,3,3,3,0.464020570372395
"2189",13,90,3e+07,270,1,4,3,3,3,3,0.463295201778378
"2190",20,90,3e+07,270,1,4,3,3,3,3,0.463577146583221
"2209",13,90,0,180,1,2,4,3,3,3,0.463340327473183
"2210",20,90,0,180,1,2,4,3,3,3,0.462753601288593
"2213",13,90,3e+07,180,1,2,4,3,3,3,0.4632015811684
"2214",20,90,3e+07,180,1,2,4,3,3,3,0.462318750769456
"2217",13,90,0,270,1,2,4,3,3,3,0.463719564762925
"2218",20,90,0,270,1,2,4,3,3,3,0.463376885795404
"2221",13,90,3e+07,270,1,2,4,3,3,3,0.462947358316448
"2222",20,90,3e+07,270,1,2,4,3,3,3,0.462013568345737
"2241",13,90,0,180,1,3,4,3,3,3,0.466412887004511
"2242",20,90,0,180,1,3,4,3,3,3,0.464566248001161
"2245",13,90,3e+07,180,1,3,4,3,3,3,0.466153113581975
"2246",20,90,3e+07,180,1,3,4,3,3,3,0.464667575582325
"2249",13,90,0,270,1,3,4,3,3,3,0.466901264473752
"2250",20,90,0,270,1,3,4,3,3,3,0.465464926565832
"2253",13,90,3e+07,270,1,3,4,3,3,3,0.467803484791016
"2254",20,90,3e+07,270,1,3,4,3,3,3,0.464404565374907
"2273",13,90,0,180,1,4,4,3,3,3,0.46997895412124
"2274",20,90,0,180,1,4,4,3,3,3,0.462856599652756
"2277",13,90,3e+07,180,1,4,4,3,3,3,0.46385353440631
"2278",20,90,3e+07,180,1,4,4,3,3,3,0.463340967086586
"2281",13,90,0,270,1,4,4,3,3,3,0.463948427416502
"2282",20,90,0,270,1,4,4,3,3,3,0.462750093406194
"2285",13,90,3e+07,270,1,4,4,3,3,3,0.466396974952522
"2286",20,90,3e+07,270,1,4,4,3,3,3,0.461021573590757
"2305",13,90,0,180,1,2,2,2,2,4,0.467745780748394
"2306",20,90,0,180,1,2,2,2,2,4,0.467528804274949
"2309",13,90,3e+07,180,1,2,2,2,2,4,0.467168872483435
"2310",20,90,3e+07,180,1,2,2,2,2,4,0.466881242737666
"2313",13,90,0,270,1,2,2,2,2,4,0.468420614364347
"2314",20,90,0,270,1,2,2,2,2,4,0.467434769954218
"2317",13,90,3e+07,270,1,2,2,2,2,4,0.467764221219014
"2318",20,90,3e+07,270,1,2,2,2,2,4,0.466824830316675
"2337",13,90,0,180,1,3,2,2,2,4,0.469372074670091
"2338",20,90,0,180,1,3,2,2,2,4,0.468825722667007
"2341",13,90,3e+07,180,1,3,2,2,2,4,0.470062001898651
"2342",20,90,3e+07,180,1,3,2,2,2,4,0.468615880219403
"2345",13,90,0,270,1,3,2,2,2,4,0.472372503418809
"2346",20,90,0,270,1,3,2,2,2,4,0.470660067538134
"2349",13,90,3e+07,270,1,3,2,2,2,4,0.470317501720268
"2350",20,90,3e+07,270,1,3,2,2,2,4,0.47086864462187
"2369",13,90,0,180,1,4,2,2,2,4,0.472944825421241
"2370",20,90,0,180,1,4,2,2,2,4,0.469196027997017
"2373",13,90,3e+07,180,1,4,2,2,2,4,0.467019760658653
"2374",20,90,3e+07,180,1,4,2,2,2,4,0.467590915420949
"2377",13,90,0,270,1,4,2,2,2,4,0.466790241829725
"2378",20,90,0,270,1,4,2,2,2,4,0.467253833242936
"2381",13,90,3e+07,270,1,4,2,2,2,4,0.467334197619455
"2382",20,90,3e+07,270,1,4,2,2,2,4,0.466900810153343
"2401",13,90,0,180,1,2,3,2,2,4,0.467909268307878
"2402",20,90,0,180,1,2,3,2,2,4,0.467806013096575
"2405",13,90,3e+07,180,1,2,3,2,2,4,0.467252732442915
"2406",20,90,3e+07,180,1,2,3,2,2,4,0.468299224336613
"2409",13,90,0,270,1,2,3,2,2,4,0.46863768915345
"2410",20,90,0,270,1,2,3,2,2,4,0.468013190213703
"2413",13,90,3e+07,270,1,2,3,2,2,4,0.467997477080182
"2414",20,90,3e+07,270,1,2,3,2,2,4,0.467342416879656
"2433",13,90,0,180,1,3,3,2,2,4,0.471307080564058
"2434",20,90,0,180,1,3,3,2,2,4,0.472947527012084
"2437",13,90,3e+07,180,1,3,3,2,2,4,0.470491287068622
"2438",20,90,3e+07,180,1,3,3,2,2,4,0.468505130019247
"2441",13,90,0,270,1,3,3,2,2,4,0.472116921639301
"2442",20,90,0,270,1,3,3,2,2,4,0.469552411460861
"2445",13,90,3e+07,270,1,3,3,2,2,4,0.472129485023335
"2446",20,90,3e+07,270,1,3,3,2,2,4,0.469801222349853
"2465",13,90,0,180,1,4,3,2,2,4,0.468187060393861
"2466",20,90,0,180,1,4,3,2,2,4,0.468070957339921
"2469",13,90,3e+07,180,1,4,3,2,2,4,0.520919888935609
"2470",20,90,3e+07,180,1,4,3,2,2,4,0.467743831621092
"2473",13,90,0,270,1,4,3,2,2,4,0.470528515272396
"2474",20,90,0,270,1,4,3,2,2,4,0.468096711747524
"2477",13,90,3e+07,270,1,4,3,2,2,4,0.467454688748655
"2478",20,90,3e+07,270,1,4,3,2,2,4,0.469391084355069
"2497",13,90,0,180,1,2,4,2,2,4,0.466823223430697
"2498",20,90,0,180,1,2,4,2,2,4,0.46715288836282
"2501",13,90,3e+07,180,1,2,4,2,2,4,0.467387371897001
"2502",20,90,3e+07,180,1,2,4,2,2,4,0.467333479007445
"2505",13,90,0,270,1,2,4,2,2,4,0.466911658488236
"2506",20,90,0,270,1,2,4,2,2,4,0.466251063139899
"2509",13,90,3e+07,270,1,2,4,2,2,4,0.466696587337832
"2510",20,90,3e+07,270,1,2,4,2,2,4,0.466770827470826
"2529",13,90,0,180,1,3,4,2,2,4,0.470779241492821
"2530",20,90,0,180,1,3,4,2,2,4,0.469911425215824
"2533",13,90,3e+07,180,1,3,4,2,2,4,0.469492437673287
"2534",20,90,3e+07,180,1,3,4,2,2,4,0.469339201967143
"2537",13,90,0,270,1,3,4,2,2,4,0.470413119580427
"2538",20,90,0,270,1,3,4,2,2,4,0.470232641966767
"2541",13,90,3e+07,270,1,3,4,2,2,4,0.470501871857433
"2542",20,90,3e+07,270,1,3,4,2,2,4,0.469364624608326
"2561",13,90,0,180,1,4,4,2,2,4,0.470536357989815
"2562",20,90,0,180,1,4,4,2,2,4,0.468815539945135
"2565",13,90,3e+07,180,1,4,4,2,2,4,0.468775929350772
"2566",20,90,3e+07,180,1,4,4,2,2,4,0.468278084770543
"2569",13,90,0,270,1,4,4,2,2,4,0.468238590736324
"2570",20,90,0,270,1,4,4,2,2,4,0.467297949103773
"2573",13,90,3e+07,270,1,4,4,2,2,4,0.469589558921548
"2574",20,90,3e+07,270,1,4,4,2,2,4,0.467511957490228
"2593",13,90,0,180,1,2,2,3,2,4,0.464936131456591
"2594",20,90,0,180,1,2,2,3,2,4,0.464850052144501
"2597",13,90,3e+07,180,1,2,2,3,2,4,0.464372488579769
"2598",20,90,3e+07,180,1,2,2,3,2,4,0.463894777616344
"2601",13,90,0,270,1,2,2,3,2,4,0.46567082440652
"2602",20,90,0,270,1,2,2,3,2,4,0.463884203176865
"2605",13,90,3e+07,270,1,2,2,3,2,4,0.46444363301133
"2606",20,90,3e+07,270,1,2,2,3,2,4,0.464544389645273
"2625",13,90,0,180,1,3,2,3,2,4,0.466404913986457
"2626",20,90,0,180,1,3,2,3,2,4,0.467287167686402
"2629",13,90,3e+07,180,1,3,2,3,2,4,0.469397650233132
"2630",20,90,3e+07,180,1,3,2,3,2,4,0.468455964314129
"2633",13,90,0,270,1,3,2,3,2,4,0.468316004871561
"2634",20,90,0,270,1,3,2,3,2,4,0.465644403582538
"2637",13,90,3e+07,270,1,3,2,3,2,4,0.467778907607929
"2638",20,90,3e+07,270,1,3,2,3,2,4,0.467568609969312
"2657",13,90,0,180,1,4,2,3,2,4,0.468723237665973
"2658",20,90,0,180,1,4,2,3,2,4,0.465729836579598
"2661",13,90,3e+07,180,1,4,2,3,2,4,0.465277757911819
"2662",20,90,3e+07,180,1,4,2,3,2,4,0.46714423266789
"2665",13,90,0,270,1,4,2,3,2,4,0.525091456090638
"2666",20,90,0,270,1,4,2,3,2,4,0.465841553620439
"2669",13,90,3e+07,270,1,4,2,3,2,4,0.465585029426468
"2670",20,90,3e+07,270,1,4,2,3,2,4,0.464577813912896
"2689",13,90,0,180,1,2,3,3,2,4,0.465254015316984
"2690",20,90,0,180,1,2,3,3,2,4,0.465593769317633
"2693",13,90,3e+07,180,1,2,3,3,2,4,0.465500102636642
"2694",20,90,3e+07,180,1,2,3,3,2,4,0.46468874148663
"2697",13,90,0,270,1,2,3,3,2,4,0.465226447717019
"2698",20,90,0,270,1,2,3,3,2,4,0.465039658286522
"2701",13,90,3e+07,270,1,2,3,3,2,4,0.464991910721222
"2702",20,90,3e+07,270,1,2,3,3,2,4,0.464848406031878
"2721",13,90,0,180,1,3,3,3,2,4,0.470126127171924
"2722",20,90,0,180,1,3,3,3,2,4,0.468052835856301
"2725",13,90,3e+07,180,1,3,3,3,2,4,0.46985478590364
"2726",20,90,3e+07,180,1,3,3,3,2,4,0.466841155642921
"2729",13,90,0,270,1,3,3,3,2,4,0.47042110433804
"2730",20,90,0,270,1,3,3,3,2,4,0.467529631494671
"2733",13,90,3e+07,270,1,3,3,3,2,4,0.471391349769834
"2734",20,90,3e+07,270,1,3,3,3,2,4,0.470430606847416
"2753",13,90,0,180,1,4,3,3,2,4,0.465864606473827
"2754",20,90,0,180,1,4,3,3,2,4,0.464575990958693
"2757",13,90,3e+07,180,1,4,3,3,2,4,0.465145236976245
"2758",20,90,3e+07,180,1,4,3,3,2,4,0.464892115709061
"2761",13,90,0,270,1,4,3,3,2,4,0.465921205652641
"2762",20,90,0,270,1,4,3,3,2,4,0.466102961168107
"2765",13,90,3e+07,270,1,4,3,3,2,4,0.469495605443563
"2766",20,90,3e+07,270,1,4,3,3,2,4,0.464463106890573
"2785",13,90,0,180,1,2,4,3,2,4,0.464896872632018
"2786",20,90,0,180,1,2,4,3,2,4,0.464598716188486
"2789",13,90,3e+07,180,1,2,4,3,2,4,0.464605735988032
"2790",20,90,3e+07,180,1,2,4,3,2,4,0.4637497559785
"2793",13,90,0,270,1,2,4,3,2,4,0.464413510356455
"2794",20,90,0,270,1,2,4,3,2,4,0.463967312139599
"2797",13,90,3e+07,270,1,2,4,3,2,4,0.463862658814972
"2798",20,90,3e+07,270,1,2,4,3,2,4,0.464083081396118
"2817",13,90,0,180,1,3,4,3,2,4,0.467857418403355
"2818",20,90,0,180,1,3,4,3,2,4,0.467292900473647
"2821",13,90,3e+07,180,1,3,4,3,2,4,0.467362482318239
"2822",20,90,3e+07,180,1,3,4,3,2,4,0.466148500464329
"2825",13,90,0,270,1,3,4,3,2,4,0.467560030829184
"2826",20,90,0,270,1,3,4,3,2,4,0.466807334819534
"2829",13,90,3e+07,270,1,3,4,3,2,4,0.468427332115989
"2830",20,90,3e+07,270,1,3,4,3,2,4,0.467266313910784
"2849",13,90,0,180,1,4,4,3,2,4,0.470644936041168
"2850",20,90,0,180,1,4,4,3,2,4,0.466308699745691
"2853",13,90,3e+07,180,1,4,4,3,2,4,0.466943125787837
"2854",20,90,3e+07,180,1,4,4,3,2,4,0.555499831411381
"2857",13,90,0,270,1,4,4,3,2,4,0.475399896964206
"2858",20,90,0,270,1,4,4,3,2,4,0.466764514186777
"2861",13,90,3e+07,270,1,4,4,3,2,4,0.464014806750989
"2862",20,90,3e+07,270,1,4,4,3,2,4,0.464350531599448
"2881",13,90,0,180,1,2,2,2,3,4,0.466675491205576
"2882",20,90,0,180,1,2,2,2,3,4,0.466127124220684
"2885",13,90,3e+07,180,1,2,2,2,3,4,0.466403777917763
"2886",20,90,3e+07,180,1,2,2,2,3,4,0.466540446413338
"2889",13,90,0,270,1,2,2,2,3,4,0.467235471437915
"2890",20,90,0,270,1,2,2,2,3,4,0.46634982875067
"2893",13,90,3e+07,270,1,2,2,2,3,4,0.466523215449008
"2894",20,90,3e+07,270,1,2,2,2,3,4,0.46697933571972
"2913",13,90,0,180,1,3,2,2,3,4,0.472515964321842
"2914",20,90,0,180,1,3,2,2,3,4,0.470140998066187
"2917",13,90,3e+07,180,1,3,2,2,3,4,0.471626834352713
"2918",20,90,3e+07,180,1,3,2,2,3,4,0.467943720114968
"2921",13,90,0,270,1,3,2,2,3,4,0.469465902482548
"2922",20,90,0,270,1,3,2,2,3,4,0.468775525670784
"2925",13,90,3e+07,270,1,3,2,2,3,4,0.470540243959533
"2926",20,90,3e+07,270,1,3,2,2,3,4,0.469445728295288
"2945",13,90,0,180,1,4,2,2,3,4,0.468405149528999
"2946",20,90,0,180,1,4,2,2,3,4,0.467410239798943
"2949",13,90,3e+07,180,1,4,2,2,3,4,0.473260496362895
"2950",20,90,3e+07,180,1,4,2,2,3,4,0.469195488551586
"2953",13,90,0,270,1,4,2,2,3,4,0.467363815449436
"2954",20,90,0,270,1,4,2,2,3,4,0.465985513214401
"2957",13,90,3e+07,270,1,4,2,2,3,4,0.467112061818972
"2958",20,90,3e+07,270,1,4,2,2,3,4,0.467063842414446
"2977",13,90,0,180,1,2,3,2,3,4,0.468487789983952
"2978",20,90,0,180,1,2,3,2,3,4,0.467478117132375
"2981",13,90,3e+07,180,1,2,3,2,3,4,0.468428969828621
"2982",20,90,3e+07,180,1,2,3,2,3,4,0.467426736973055
"2985",13,90,0,270,1,2,3,2,3,4,0.46913972570668
"2986",20,90,0,270,1,2,3,2,3,4,0.467780763308127
"2989",13,90,3e+07,270,1,2,3,2,3,4,0.468631774820842
"2990",20,90,3e+07,270,1,2,3,2,3,4,0.46858752784991
"3009",13,90,0,180,1,3,3,2,3,4,0.471270172102041
"3010",20,90,0,180,1,3,3,2,3,4,0.469614067515024
"3013",13,90,3e+07,180,1,3,3,2,3,4,0.470621084442369
"3014",20,90,3e+07,180,1,3,3,2,3,4,0.468503841328464
"3017",13,90,0,270,1,3,3,2,3,4,0.473270590996576
"3018",20,90,0,270,1,3,3,2,3,4,0.469598662326617
"3021",13,90,3e+07,270,1,3,3,2,3,4,0.473925692983473
"3022",20,90,3e+07,270,1,3,3,2,3,4,0.471405561759309
"3041",13,90,0,180,1,4,3,2,3,4,0.468950956485977
"3042",20,90,0,180,1,4,3,2,3,4,0.467962335660455
"3045",13,90,3e+07,180,1,4,3,2,3,4,0.468656921996195
"3046",20,90,3e+07,180,1,4,3,2,3,4,0.467869518198833
"3049",13,90,0,270,1,4,3,2,3,4,0.468663988416206
"3050",20,90,0,270,1,4,3,2,3,4,0.467689912997886
"3053",13,90,3e+07,270,1,4,3,2,3,4,0.46986859036713
"3054",20,90,3e+07,270,1,4,3,2,3,4,0.468124216667298
"3073",13,90,0,180,1,2,4,2,3,4,0.466991465906025
"3074",20,90,0,180,1,2,4,2,3,4,0.467034247866231
"3077",13,90,3e+07,180,1,2,4,2,3,4,0.466428929922343
"3078",20,90,3e+07,180,1,2,4,2,3,4,0.467106577544961
"3081",13,90,0,270,1,2,4,2,3,4,0.467050539143014
"3082",20,90,0,270,1,2,4,2,3,4,0.46642899753427
"3085",13,90,3e+07,270,1,2,4,2,3,4,0.467274637020193
"3086",20,90,3e+07,270,1,2,4,2,3,4,0.467151450278373
"3105",13,90,0,180,1,3,4,2,3,4,0.468626031458201
"3106",20,90,0,180,1,3,4,2,3,4,0.468889770567985
"3109",13,90,3e+07,180,1,3,4,2,3,4,0.471400823218771
"3110",20,90,3e+07,180,1,3,4,2,3,4,0.469461024431936
"3113",13,90,0,270,1,3,4,2,3,4,0.469539366636494
"3114",20,90,0,270,1,3,4,2,3,4,0.469814737591354
"3117",13,90,3e+07,270,1,3,4,2,3,4,0.469734902903845
"3118",20,90,3e+07,270,1,3,4,2,3,4,0.470510696779338
"3137",13,90,0,180,1,4,4,2,3,4,0.469073096844432
"3138",20,90,0,180,1,4,4,2,3,4,0.466447136477996
"3141",13,90,3e+07,180,1,4,4,2,3,4,0.468381205273145
"3142",20,90,3e+07,180,1,4,4,2,3,4,0.468503327638101
"3145",13,90,0,270,1,4,4,2,3,4,0.468648881122339
"3146",20,90,0,270,1,4,4,2,3,4,0.46697694228275
"3149",13,90,3e+07,270,1,4,4,2,3,4,0.479021528306539
"3150",20,90,3e+07,270,1,4,4,2,3,4,0.467155814361638
"3169",13,90,0,180,1,2,2,3,3,4,0.464962586527583
"3170",20,90,0,180,1,2,2,3,3,4,0.46459685516088
"3173",13,90,3e+07,180,1,2,2,3,3,4,0.464583938231268
"3174",20,90,3e+07,180,1,2,2,3,3,4,0.463570678916542
"3177",13,90,0,270,1,2,2,3,3,4,0.464544214122848
"3178",20,90,0,270,1,2,2,3,3,4,0.463592768302872
"3181",13,90,3e+07,270,1,2,2,3,3,4,0.465057968016743
"3182",20,90,3e+07,270,1,2,2,3,3,4,0.463939080579599
"3201",13,90,0,180,1,3,2,3,3,4,0.469942020802314
"3202",20,90,0,180,1,3,2,3,3,4,0.466380434416148
"3205",13,90,3e+07,180,1,3,2,3,3,4,0.468146449294319
"3206",20,90,3e+07,180,1,3,2,3,3,4,0.46651827143816
"3209",13,90,0,270,1,3,2,3,3,4,0.469528881004338
"3210",20,90,0,270,1,3,2,3,3,4,0.469077553682423
"3213",13,90,3e+07,270,1,3,2,3,3,4,0.468381171678619
"3214",20,90,3e+07,270,1,3,2,3,3,4,0.467101852906576
"3233",13,90,0,180,1,4,2,3,3,4,0.465879122258462
"3234",20,90,0,180,1,4,2,3,3,4,0.465551977465173
"3237",13,90,3e+07,180,1,4,2,3,3,4,0.464216303067619
"3238",20,90,3e+07,180,1,4,2,3,3,4,0.463742669359395
"3241",13,90,0,270,1,4,2,3,3,4,0.46564655756499
"3242",20,90,0,270,1,4,2,3,3,4,0.46413077676435
"3245",13,90,3e+07,270,1,4,2,3,3,4,0.467052967211044
"3246",20,90,3e+07,270,1,4,2,3,3,4,0.463334862513546
"3265",13,90,0,180,1,2,3,3,3,4,0.465101239508142
"3266",20,90,0,180,1,2,3,3,3,4,0.465349375455699
"3269",13,90,3e+07,180,1,2,3,3,3,4,0.464835630440936
"3270",20,90,3e+07,180,1,2,3,3,3,4,0.464829275633544
"3273",13,90,0,270,1,2,3,3,3,4,0.46527419400923
"3274",20,90,0,270,1,2,3,3,3,4,0.465569604431576
"3277",13,90,3e+07,270,1,2,3,3,3,4,0.464997116393059
"3278",20,90,3e+07,270,1,2,3,3,3,4,0.464285413046238
"3297",13,90,0,180,1,3,3,3,3,4,0.469787433968183
"3298",20,90,0,180,1,3,3,3,3,4,0.468235161303644
"3301",13,90,3e+07,180,1,3,3,3,3,4,0.467997058998385
"3302",20,90,3e+07,180,1,3,3,3,3,4,0.467177115251658
"3305",13,90,0,270,1,3,3,3,3,4,0.470265160792501
"3306",20,90,0,270,1,3,3,3,3,4,0.466758261725369
"3309",13,90,3e+07,270,1,3,3,3,3,4,0.468787020854915
"3310",20,90,3e+07,270,1,3,3,3,3,4,0.46751144472801
"3329",13,90,0,180,1,4,3,3,3,4,0.465035193026424
"3330",20,90,0,180,1,4,3,3,3,4,0.465226241879569
"3333",13,90,3e+07,180,1,4,3,3,3,4,0.470484467986004
"3334",20,90,3e+07,180,1,4,3,3,3,4,0.466710037183207
"3337",13,90,0,270,1,4,3,3,3,4,0.469065363354879
