"","imdbRating","budget","release_month","duration_minutes","total_number_of_spoken_languages","total_number_of_genres","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_scifi","genre_shortfilm","genre_thriller","genre_war","main_actor1_is_female","main_actor1_star_meter","main_actor2_star_meter","main_actor3_star_meter","total_number_of_actors","log_duration","country_prod_d","language_used_d"
"37",6.1,3e+07,1,90,1,2,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1",1471,549,2866,31,4.12713438504509,1,1
"38",7.7,5e+06,10,90,2,3,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0",728,864,777,22,4.15888308335967,0,0
"39",7,1.5e+07,4,90,1,3,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1",1485,221,1816,52,3.93182563272433,0,1
"40",8.5,9e+06,12,150,2,3,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",792,2050,431,20,4.79579054559674,0,1
"41",7.8,5.5e+07,9,120,1,3,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1781,1855,434,44,4.29045944114839,1,1
"42",7.6,0,8,90,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",1585,141,2714,27,3.76120011569356,1,1
"43",6.6,3e+07,10,90,1,2,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0",1700,2306,1954,42,4.15888308335967,0,1
"44",6.2,2.8e+07,8,60,3,3,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1715,192,1945,15,3.52636052461616,1,1
"45",7,1.1e+08,3,90,1,3,"1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0",1027,1367,2135,42,3.97029191355212,1,1
"46",5.9,6.2e+07,2,120,1,3,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1752,1926,2251,13,4.33073334028633,1,1
"47",5.5,0,5,120,1,3,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0",1789,2050,880,12,4.58496747867057,0,0
"48",5.6,1.3e+08,6,90,4,3,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0",521,2518,250,18,3.76120011569356,0,1
"49",6.9,1.2e+07,12,90,1,3,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",877,2593,1315,55,3.85014760171006,1,1
"50",6.8,7.5e+07,2,90,1,2,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1168,2357,1198,55,3.91202300542815,1,1
"51",7.8,8e+06,9,90,1,2,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1615,2397,2212,38,3.93182563272433,1,1
"52",6.4,0,11,90,1,2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",1325,2628,2505,22,4.11087386417331,1,1
"53",6.9,4.1e+07,11,90,1,2,"0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0",751,1783,3273,19,4.11087386417331,1,1
"54",6.4,0,2,90,2,3,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",646,1295,579,6,4.02535169073515,1,1
"55",8.2,0,2,120,4,2,"0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0",1273,1967,3072,17,4.48863636973214,0,0
"56",5.9,3e+07,2,90,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",1405,315,542,15,4.07753744390572,1,1
