"","duration_minutes","genre_drama","total_number_of_actors","genre_action","genre_documentary","genre_horror","genre_comedy","genre_family","genre_filmnoir","genre_animation","budget","budget_duration","main_actor1_is_female","duration_genres","budget_genres","short_duration","release_month","genre_musical","genre_war","action_budget","budget_language","duration_actors","genre_biography","total_number_of_spoken_languages","war_budget","imdbRating"
"396",60,0,7,0,0,0,0,1,0,1,0,0,0,180,0,0,"4",0,0,0,0,420,0,1,0,6.6
"397",120,1,12,0,0,0,1,0,0,0,0,0,0,360,0,0,"10",0,0,0,0,1440,0,2,0,6.4
"398",90,1,9,0,0,0,0,0,0,0,120000,10800000,1,180,240000,0,"8",0,0,0,240000,810,0,2,0,7.9
"399",120,1,10,0,0,0,1,0,0,0,7.5e+07,9e+09,0,360,2.25e+08,0,"10",0,0,0,7.5e+07,1200,0,1,0,6.6
"400",90,1,5,0,0,0,0,0,0,0,0,0,0,180,0,0,"8",0,0,0,0,450,0,2,0,6.9
"401",90,0,12,1,0,0,0,0,0,0,1.5e+07,1.35e+09,0,270,4.5e+07,0,"2",0,0,1.5e+07,1.5e+07,1080,0,1,0,6.5
"402",90,0,31,0,0,0,1,0,0,0,9e+06,8.1e+08,1,270,2.7e+07,0,"10",0,0,0,9e+06,2790,0,1,0,5.9
"403",60,0,6,0,0,0,0,1,0,1,0,0,1,180,0,0,"1",1,0,0,0,360,0,1,0,6
"404",60,0,3,0,0,0,0,1,0,1,0,0,1,180,0,0,"9",1,0,0,0,180,0,1,0,5.8
"405",90,1,5,0,0,0,1,0,0,0,3200000,2.88e+08,0,270,9600000,0,"7",0,0,0,6400000,450,0,2,0,7
"406",90,0,9,0,0,0,1,0,0,0,0,0,0,180,0,0,"5",0,0,0,0,810,0,1,0,7
"407",150,1,4,0,0,0,1,0,0,0,4435000,665250000,1,450,13305000,0,"9",0,0,0,4435000,600,0,1,0,8.3
"408",180,1,17,0,0,0,0,0,0,0,1.1e+07,1.98e+09,0,180,1.1e+07,0,"12",0,0,0,3.3e+07,3060,0,3,0,8.1
"409",90,1,14,0,0,0,0,0,0,0,9e+06,8.1e+08,0,180,1.8e+07,0,"8",0,0,0,9e+06,1260,0,1,0,7.8
"410",90,0,31,0,0,0,1,0,0,0,0,0,0,180,0,0,"7",0,0,0,0,2790,0,1,0,6.6
